"rowkey","occurrenceID","eventID","catalogNumber","collectionCode","dcterms:type","dcterms:license processed","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","dcterms:references","taxonID","scientificName processed","scientificNameAuthorship","nomenclaturalStatus","taxonRemarks","identificationRemarks","identifiedBy processed","identificationVerificationStatus","identificationVerificationStatus processed","kingdom","phylum processed","class processed","order processed","family processed","genus processed","specificEpithet","infraspecificEpithet","eventDate processed","eventTime","verbatimEventDate","day processed","month processed","year processed","eventDateEnd processed","endDay processed","endMonth processed","endYear processed","locationID","higherGeographyID","higherGeography","islandGroup","island","countryCode","county","gridreference","verbatimLocality","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","georeferenceVerificationStatus processed","georeferenceRemarks","geologicalContextID","basisOfRecord processed","occurrenceStatus processed","occurrenceRemarks","vitality","dynamicProperties","recordNumber","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","behavior","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","samplingEffort","sampleSizeUnit","measurementDeterminedDate","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","relationshipOfResource","measurementMethod","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","collectionID","datasetID","institutionCode","fieldNotes","eventRemarks","datasetName","ownerInstitutionCode","otherCatalogNumbers","materialSampleID","decimalLatitude processed","decimalLongitude processed","Coordinate uncertainty - processed"
"4bc1c699-cba0-4ff6-9141-f46a375ab472","48295303",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1999-07-21",,,"21","07","1999",,,,,,,,,,,,"NJ0115",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.219615","-3.632758","707.1"
"4bc67d09-3f46-421f-89fc-7bc390183c87","248834767","no key-SAMPLE",,"no key",,"CC-BY-NC",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1988-04",,,"","04","1988","1991-07",,"07","1991",,,,,,,,"NJ30",,,,,,"Accepted - considered correct",,,"HumanObservation","present",,,,"GIBTET257457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000147","British Trust for Ornithology",,,,,,,"57.131297","-3.075409","7071.1"
"4bd08580-e9df-4d70-b88f-04304d633a8c","120639186",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2016-05-15",,,"15","05","2016",,,,,,,,,,,,"NO19A",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.001549","-3.466782","1414.2"
"4bebb15c-cd2a-43fd-ae15-c2947c5f8aad","117345093","ScottishCrossbill2008-SAMPLE",,"ScottishCrossbill2008",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2008-01-20",,,"20","01","2008","2008-01-20","20","01","2008","9669484",,,,,,,"NJ3607",,,,,,"Accepted",,,"HumanObservation","present",,,,"203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000601",,,,,,,,"57.15396","-3.051271","707.1"
"4c5614b2-ce32-46c2-8c2a-589b2ff89eb3","64311996",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2010-06-20",,,"20","06","2010",,,,,,,,,,,,"NC84X",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"58.379313","-3.899794","1414.2"
"4c57ef57-b5ba-471b-9165-c1e51600dad1","109716908",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2016-01-02",,,"02","01","2016",,,,,,,,,,,,"NH9951",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.542418","-3.680588","707.1"
"4cd2e917-128a-4c0a-8881-aa91188b878d","117376629","no key-SAMPLE",,"no key",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2003-01-31",,,"31","01","2003","2003-01-31","31","01","2003",,,,,,,,"NH58",,,,,,"Accepted",,,"HumanObservation","present",,,,"3655878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000793",,,,,,,,"57.830974","-4.443511","7071.1"
"4d09ce6e-1e7a-404f-8645-d9a0309c2d84","226162828","Scotland2006-2011-SAMPLE",,"Scotland2006-2011",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2006",,,"","","2006","2011",,,"2011","11450428",,,,,,,"NN88E",,,,,,"Accepted",,,"HumanObservation","present",,,,"BCTP2012_19944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000811",,,,,,,,"56.976833","-3.959423","1414.2"
"4d53f9bd-cc21-4984-b25c-fb95f525fc6b","76785590",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2011-03-05",,,"05","03","2011",,,,,,,,,,,,"NJ22N",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.327348","-3.247217","1414.2"
"4d6469cf-6cd4-4a82-9374-7e45b03c0bb5","226138436","Scotland2006-2011-SAMPLE",,"Scotland2006-2011",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2006",,,"","","2006","2011",,,"2011","11465589",,,,,,,"NH91Z",,,,,,"Accepted",,,"HumanObservation","present",,,,"BCTP2012_19896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000811",,,,,,,,"57.250497","-3.675562","1414.2"
"4d6fdada-ffc5-4315-8137-d2e59050ae5d","43508367",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2005-10-03",,,"03","10","2005",,,,,,,,,,,,"NH91",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.21368","-3.740129","7071.1"
"4d7119a3-f1d8-4a02-850b-caf5c79d3d1b","249328080","no key-SAMPLE",,"no key",,"CC-BY-NC",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1988-04",,,"","04","1988","1991-07",,"07","1991",,,,,,,,"NH59",,,,,,"Accepted - considered correct",,,"HumanObservation","present",,,,"GIBTET257427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000147","British Trust for Ornithology",,,,,,,"57.920712","-4.449607","7071.1"
"4d72500a-b3a6-4ae6-aa65-9044d2852d5b","104364910",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2016-09-06",,,"06","09","2016",,,,,,,,,,,,"NH9511",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.182369","-3.730384","707.1"
"4d8adb13-a90b-4a8b-98cc-81571b149d42","39740635",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1997-05-26",,,"26","05","1997",,,,,,,,,,,,"NH8907",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.145048","-3.827812","707.1"
"4dcafe67-cd4c-4471-a43e-2045b09ac74c","39322385",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1993-04-27",,,"27","04","1993",,,,,,,,,,,,"NG9963",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.616768","-5.358625","707.1"
"4dd7d0d2-c9ce-4f81-8112-6f87bf7d01b1","46361174",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530457","Loxia scotica",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1984-12-31",,,"31","12","1984",,,,,,,,,,,,"NH9408",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"57.155203","-3.745648","707.1"
"4de1d687-2779-45a6-ab88-b238a2801b9c","222582629","1-SAMPLE",,"1",,"CC-BY",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"2002",,,"","","2002","2002",,,"2002","11051677",,,,,,,"NJ71A",,,,,,"Accepted",,,"HumanObservation","present",,,,"NESBBA0206-17592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000571","The Scottish Ornithologists' Club",,,,,,,"57.188882","-2.481442","1414.2"
"4df7dee3-faae-4de5-a70c-be64a95cea59","248636677","no key-SAMPLE",,"no key",,"CC-BY-NC",,,,,"NHMSYS0000530457","Loxia scotica",,,,,,,"Accepted - considered correct","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1988-04",,,"","04","1988","1991-07",,"07","1991",,,,,,,,"NO35",,,,,,"Accepted - considered correct",,,"HumanObservation","present",,,,"GIBTET257468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000147","British Trust for Ornithology",,,,,,,"56.682207","-3.062574","7071.1"
"4e1e1d9c-4ae6-442b-8519-95543b009f34","CI00004200007ZVI","CI00004200002A8S",,"CI0000420000003J",,"CC-BY","National Trust for Scotland",,,,"NBNSYS0000000511","Loxia scotica",,,,,,"Unconfirmed","Unconfirmed","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",,,"1996-10-10",,,"10","10","1996",,,,,,,,,,,,"NO09",,,,,,,,,"HumanObservation","present","FROM FIELD CARD; FLOCK SIZES:- 15,9,7,17,19,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NTS",,,"National Trust for Scotland Species Records",,,,"57.036272","-3.567027","7071.1"
